                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    115,                 1.9303,                 1.2904,                 2.0248,                0.64061,                0.57496,                0.60758,                0.31772,                 1.8542,                 1.2983,                  1.981,               0.001294,               0.001294,               0.001294
                    116,                 1.9176,                 1.2995,                 2.0647,                0.68174,                0.58376,                0.65841,                0.33067,                 1.7794,                 1.2391,                 1.9455,              0.0012907,              0.0012907,              0.0012907
                    117,                  1.824,                 1.4028,                 2.0944,                0.68174,                0.58376,                0.65841,                0.33067,                 1.7794,                 1.2391,                 1.9455,              0.0012874,              0.0012874,              0.0012874
                    118,                 1.8455,                 1.2828,                 2.0625,                0.68174,                0.58376,                0.65841,                0.33067,                 1.7794,                 1.2391,                 1.9455,              0.0012841,              0.0012841,              0.0012841
                    119,                 1.7956,                 1.2824,                 2.0038,                0.68174,                0.58376,                0.65841,                0.33067,                 1.7794,                 1.2391,                 1.9455,              0.0012808,              0.0012808,              0.0012808
                    120,                 2.0402,                 1.3782,                 2.0788,                0.57916,                0.61509,                0.66068,                0.28704,                 1.8135,                 1.2885,                 1.9786,              0.0012775,              0.0012775,              0.0012775
                    121,                 1.8461,                 1.2347,                 1.9423,                0.57916,                0.61509,                0.66068,                0.28704,                 1.8135,                 1.2885,                 1.9786,              0.0012742,              0.0012742,              0.0012742
                    122,                  1.897,                 1.2995,                 2.0513,                0.57916,                0.61509,                0.66068,                0.28704,                 1.8135,                 1.2885,                 1.9786,              0.0012709,              0.0012709,              0.0012709
                    123,                   1.92,                 1.3538,                 2.0462,                0.57916,                0.61509,                0.66068,                0.28704,                 1.8135,                 1.2885,                 1.9786,              0.0012676,              0.0012676,              0.0012676
                    124,                 1.8725,                 1.2142,                 1.9662,                0.77936,                0.49739,                0.63443,                0.27313,                 1.8501,                 1.3814,                 1.9832,              0.0012643,              0.0012643,              0.0012643
